Transaction_ID,Date,Customer_Name,Transaction_Type,Product_Service,Amount,Tax,Payment_Method,Location,Account_Category,Notes
TXN-2050,2025-03-04,Anthony Hanna,Income,Oil Sale,29030,4935.1,Cheque,Lahore,Revenue,Customer advance
TXN-2051,2025-02-02,Scott Gregory,Asset,New Machinery,52432,0.0,Bank Transfer,Karachi,Current Asset,Marketing campaign
TXN-2052,2025-04-14,Chris Burnett,Expense,Staff Salary,52915,0.0,Bank Transfer,Faisalabad,Administrative Expense,Paid to supplier
TXN-2053,2025-03-17,Jennifer Carey,Income,Wheat Sale,549,93.33,Cash,Faisalabad,Revenue,Paid to supplier
TXN-2054,2025-02-10,Alexander Tucker,Asset,Vehicle Purchase,23904,0.0,Bank Transfer,Lahore,Current Asset,Customer advance
TXN-2055,2025-02-17,Melissa Williams,Capital,Owner Investment,72083,0.0,Cash,Islamabad,Equity,Customer advance
TXN-2056,2025-03-26,Jessica Hernandez,Capital,Shareholder Equity,22789,0.0,Bank Transfer,Lahore,Equity,Loan installment
TXN-2057,2025-01-27,Veronica Collins,Refund,Customer Refund,56495,0.0,Cheque,Lahore,Revenue Adjustment,New equipment
TXN-2058,2025-02-27,Jo Mckinney,Liability,Bank Loan,452,0.0,Cheque,Lahore,Long-term Liability,Loan installment
TXN-2059,2025-02-07,Bruce Caldwell,Expense,Shop Rent,28274,0.0,Card,Faisalabad,Operating Expense,Loan installment
TXN-2060,2025-04-08,John Burke,Asset,Furniture,35366,0.0,Card,Lahore,Fixed Asset,Loan installment
TXN-2061,2025-02-24,Cody Foster,Liability,Utility Bill Due,44787,0.0,Bank Transfer,Karachi,Long-term Liability,Marketing campaign
TXN-2062,2025-04-07,Taylor Long,Income,Oil Sale,36907,6274.19,Cheque,Faisalabad,Revenue,Loan installment
TXN-2063,2025-03-24,Kevin Turner,Liability,Utility Bill Due,85368,0.0,Cash,Lahore,Long-term Liability,Monthly bill
TXN-2064,2025-02-25,Rodney Daniel,Asset,Shop Inventory,78340,0.0,Card,Lahore,Fixed Asset,Customer advance
TXN-2065,2025-03-23,Pamela Garcia,Refund,Supplier Refund,19044,0.0,Card,Lahore,Revenue Adjustment,Monthly bill
TXN-2066,2025-03-12,Elizabeth Ingram,Income,Wheat Sale,59953,10192.01,Card,Karachi,Revenue,Marketing campaign
TXN-2067,2025-04-15,Tiffany Ray,Income,Flour Sale,18493,3143.81,Cheque,Lahore,Revenue,Refund processed
TXN-2068,2025-01-25,Miss Elizabeth Clark,Capital,Owner Investment,15293,0.0,Card,Karachi,Equity,Marketing campaign
TXN-2069,2025-02-16,Janet Day,Liability,Tax Payable,36324,0.0,Cheque,Islamabad,Long-term Liability,Marketing campaign
TXN-2070,2025-02-12,Richard Scott,Expense,Supplier Payment,69087,0.0,Bank Transfer,Faisalabad,Administrative Expense,Paid to supplier
TXN-2071,2025-02-25,Jessica York,Income,Wheat Sale,36645,6229.65,Bank Transfer,Lahore,Revenue,Monthly bill
TXN-2072,2025-03-14,Dawn Fox,Expense,Staff Salary,83678,0.0,Cash,Lahore,Administrative Expense,Monthly bill
TXN-2073,2025-03-05,Eric Diaz,Liability,Supplier Credit,84082,0.0,Bank Transfer,Islamabad,Long-term Liability,Monthly bill
TXN-2074,2025-02-12,Michael James,Asset,New Machinery,95587,0.0,Cash,Karachi,Fixed Asset,Refund processed
TXN-2075,2025-02-13,Vincent Mcclure,Expense,Shop Rent,88536,0.0,Bank Transfer,Lahore,Operating Expense,Marketing campaign
TXN-2076,2025-01-17,Cynthia Cunningham,Refund,Customer Refund,95241,0.0,Cheque,Faisalabad,Revenue Adjustment,Monthly bill
TXN-2077,2025-01-25,Kenneth Jackson,Liability,Tax Payable,15050,0.0,Cash,Karachi,Short-term Liability,Monthly bill
TXN-2078,2025-03-16,David Evans,Liability,Tax Payable,78998,0.0,Cash,Faisalabad,Long-term Liability,Loan installment
TXN-2079,2025-02-19,James Fischer,Asset,Furniture,99159,0.0,Cash,Faisalabad,Current Asset,Monthly bill
TXN-2080,2025-04-04,Ashley Smith,Asset,New Machinery,19451,0.0,Cash,Karachi,Current Asset,Refund processed
TXN-2081,2025-02-01,Thomas Montoya,Liability,Supplier Credit,62432,0.0,Cash,Lahore,Short-term Liability,Refund processed
TXN-2082,2025-02-15,Andrea Wright,Capital,Owner Investment,71890,0.0,Cheque,Karachi,Equity,Refund processed
TXN-2083,2025-04-09,Deborah Adams,Refund,Supplier Refund,42541,0.0,Cash,Faisalabad,Revenue Adjustment,New equipment
TXN-2084,2025-04-09,Nicole Dickson,Expense,Marketing,14152,0.0,Cash,Faisalabad,Operating Expense,Monthly bill
TXN-2085,2025-02-23,Steven Keller,Capital,Partner Fund,12338,0.0,Card,Faisalabad,Equity,New equipment
TXN-2086,2025-02-17,Cheyenne Hines,Capital,Owner Investment,13185,0.0,Bank Transfer,Lahore,Equity,Marketing campaign
TXN-2087,2025-03-10,Shawn Morales,Refund,Supplier Refund,21017,0.0,Bank Transfer,Faisalabad,Revenue Adjustment,Loan installment
TXN-2088,2025-04-16,Robert Rose,Asset,Vehicle Purchase,71252,0.0,Card,Faisalabad,Fixed Asset,Loan installment
TXN-2089,2025-03-17,Melanie Clark,Capital,Owner Investment,68756,0.0,Cheque,Faisalabad,Equity,New equipment
TXN-2090,2025-02-06,Tara Rodriguez,Capital,Partner Fund,16103,0.0,Cash,Islamabad,Equity,Customer advance
TXN-2091,2025-03-19,Catherine Mcpherson,Refund,Customer Refund,16278,0.0,Cheque,Lahore,Revenue Adjustment,Monthly bill
TXN-2092,2025-02-16,Alison Gallagher,Liability,Utility Bill Due,45281,0.0,Card,Islamabad,Long-term Liability,Marketing campaign
TXN-2093,2025-02-10,Richard Palmer,Asset,Furniture,87947,0.0,Cheque,Karachi,Current Asset,Loan installment
TXN-2094,2025-03-15,Brett Cook,Liability,Bank Loan,21401,0.0,Cheque,Faisalabad,Long-term Liability,New equipment
TXN-2095,2025-01-20,Bridget Gonzalez,Capital,Partner Fund,26589,0.0,Card,Faisalabad,Equity,Paid to supplier
TXN-2096,2025-01-23,William Hardy,Expense,Electricity Bill,19784,0.0,Cheque,Karachi,Administrative Expense,Paid to supplier
TXN-2097,2025-01-20,Richard Sanders,Capital,Partner Fund,54341,0.0,Cheque,Karachi,Equity,Paid to supplier
TXN-2098,2025-04-11,James Murphy,Asset,Furniture,85837,0.0,Cheque,Faisalabad,Current Asset,New equipment
TXN-2099,2025-03-18,Shaun Guerrero,Expense,Electricity Bill,49521,0.0,Card,Lahore,Administrative Expense,Loan installment
TXN-2100,2025-02-23,Deborah Johnson,Liability,Bank Loan,97060,0.0,Cash,Lahore,Short-term Liability,Refund processed
TXN-2101,2025-03-16,Jeffrey Ho,Expense,Supplier Payment,74016,0.0,Cheque,Faisalabad,Operating Expense,Customer advance
TXN-2102,2025-04-11,Ann Davenport,Refund,Customer Refund,97188,0.0,Card,Karachi,Revenue Adjustment,Loan installment
TXN-2103,2025-02-24,Teresa Barrett,Capital,Owner Investment,69886,0.0,Cash,Lahore,Equity,Loan installment
TXN-2104,2025-02-24,Marisa Tate,Income,Flour Sale,96082,16333.94,Bank Transfer,Lahore,Revenue,Monthly bill
TXN-2105,2025-02-13,Daniel Duncan,Expense,Supplier Payment,43415,0.0,Cheque,Islamabad,Administrative Expense,Refund processed
TXN-2106,2025-04-10,Stephen Jordan,Asset,Furniture,13003,0.0,Card,Lahore,Current Asset,Customer advance
TXN-2107,2025-04-02,Crystal Stark,Asset,New Machinery,24243,0.0,Card,Karachi,Fixed Asset,Loan installment
TXN-2108,2025-02-17,Martin Moyer,Expense,Supplier Payment,19774,0.0,Cheque,Islamabad,Administrative Expense,Paid to supplier
TXN-2109,2025-02-25,Robin Lewis,Expense,Staff Salary,88979,0.0,Cash,Islamabad,Administrative Expense,New equipment
TXN-2110,2025-02-08,Carol Atkinson,Liability,Supplier Credit,62460,0.0,Bank Transfer,Faisalabad,Long-term Liability,Marketing campaign
TXN-2111,2025-02-05,Sandra Fernandez,Asset,New Machinery,46131,0.0,Bank Transfer,Faisalabad,Fixed Asset,New equipment
TXN-2112,2025-04-06,Jennifer Brown,Refund,Customer Refund,77557,0.0,Cheque,Karachi,Revenue Adjustment,Refund processed
TXN-2113,2025-04-13,Crystal Santiago,Asset,Furniture,27726,0.0,Cheque,Karachi,Fixed Asset,Refund processed
TXN-2114,2025-03-10,Kevin Yu,Liability,Supplier Credit,57731,0.0,Cash,Islamabad,Short-term Liability,Customer advance
TXN-2115,2025-03-13,Jeffrey Nelson,Capital,Owner Investment,97078,0.0,Card,Islamabad,Equity,Paid to supplier
TXN-2116,2025-03-05,Amy Serrano,Income,Flour Sale,78188,13291.96,Card,Lahore,Revenue,Customer advance
TXN-2117,2025-04-14,Joshua King,Capital,Shareholder Equity,80209,0.0,Cash,Lahore,Equity,Monthly bill
TXN-2118,2025-03-12,William Malone,Expense,Marketing,70211,0.0,Cheque,Faisalabad,Administrative Expense,Monthly bill
TXN-2119,2025-02-26,Cheryl Fisher,Income,Rice Sale,33575,5707.75,Cash,Islamabad,Revenue,Paid to supplier
TXN-2120,2025-01-25,Christian Thompson,Liability,Bank Loan,61894,0.0,Cheque,Lahore,Long-term Liability,Monthly bill
TXN-2121,2025-02-11,Kevin Phillips,Capital,Partner Fund,12763,0.0,Bank Transfer,Lahore,Equity,Refund processed
TXN-2122,2025-03-26,Belinda Maldonado,Liability,Supplier Credit,31749,0.0,Card,Islamabad,Long-term Liability,Refund processed
TXN-2123,2025-02-01,Elizabeth Griffin,Capital,Owner Investment,38883,0.0,Bank Transfer,Faisalabad,Equity,Customer advance
TXN-2124,2025-04-12,Elizabeth Davis,Liability,Utility Bill Due,43261,0.0,Cheque,Karachi,Short-term Liability,Monthly bill
TXN-2125,2025-04-05,John Rodriguez,Income,Oil Sale,66033,11225.61,Cheque,Lahore,Revenue,Marketing campaign
TXN-2126,2025-04-03,Pamela James,Asset,New Machinery,2683,0.0,Card,Faisalabad,Fixed Asset,Customer advance
TXN-2127,2025-02-16,Kyle Pena,Income,Sugar Sale,68253,11603.01,Bank Transfer,Faisalabad,Revenue,Refund processed
TXN-2128,2025-01-26,Anthony Hogan,Liability,Utility Bill Due,88890,0.0,Bank Transfer,Islamabad,Short-term Liability,New equipment
TXN-2129,2025-03-03,Christopher May,Liability,Supplier Credit,20988,0.0,Bank Transfer,Karachi,Short-term Liability,Loan installment
TXN-2130,2025-01-22,Ryan Mason,Asset,Furniture,45355,0.0,Bank Transfer,Faisalabad,Fixed Asset,Marketing campaign
TXN-2131,2025-03-16,Isaac Martinez,Refund,Customer Refund,9512,0.0,Card,Lahore,Revenue Adjustment,Paid to supplier
TXN-2132,2025-03-03,Lucas West,Asset,Vehicle Purchase,60247,0.0,Bank Transfer,Karachi,Fixed Asset,Marketing campaign
TXN-2133,2025-03-17,Sally Dominguez,Asset,Vehicle Purchase,38925,0.0,Cheque,Faisalabad,Current Asset,Paid to supplier
TXN-2134,2025-02-27,Denise Long,Income,Sugar Sale,1870,317.9,Card,Faisalabad,Revenue,Paid to supplier
TXN-2135,2025-03-16,Brooke Walters,Income,Sugar Sale,78730,13384.1,Bank Transfer,Lahore,Revenue,Refund processed
TXN-2136,2025-02-18,Anna Evans,Expense,Staff Salary,6898,0.0,Bank Transfer,Karachi,Operating Expense,Refund processed
TXN-2137,2025-02-14,Stacey Bradley,Liability,Supplier Credit,22212,0.0,Card,Islamabad,Short-term Liability,Refund processed
TXN-2138,2025-04-04,Lynn Sherman,Asset,Vehicle Purchase,71712,0.0,Card,Faisalabad,Fixed Asset,New equipment
TXN-2139,2025-03-12,Samuel Ward,Income,Wheat Sale,24270,4125.9,Cheque,Karachi,Revenue,Monthly bill
TXN-2140,2025-01-23,Gregory Norman,Refund,Supplier Refund,53690,0.0,Cash,Karachi,Revenue Adjustment,Loan installment
TXN-2141,2025-04-03,Timothy Morgan,Refund,Customer Refund,57680,0.0,Cash,Lahore,Revenue Adjustment,Paid to supplier
TXN-2142,2025-03-21,Mark Crawford,Capital,Shareholder Equity,89062,0.0,Bank Transfer,Karachi,Equity,Customer advance
TXN-2143,2025-02-22,Erica Jones,Expense,Staff Salary,69207,0.0,Cash,Faisalabad,Administrative Expense,Refund processed
TXN-2144,2025-04-13,Valerie Glenn,Expense,Marketing,7166,0.0,Card,Faisalabad,Operating Expense,Paid to supplier
TXN-2145,2025-02-01,Mrs. Monica Colon,Refund,Customer Refund,49687,0.0,Cheque,Lahore,Revenue Adjustment,Monthly bill
TXN-2146,2025-01-28,Adam White,Income,Oil Sale,13955,2372.35,Card,Faisalabad,Revenue,Loan installment
TXN-2147,2025-01-23,Michael Griffin,Capital,Partner Fund,40456,0.0,Card,Islamabad,Equity,Marketing campaign
TXN-2148,2025-02-04,Brianna Henson,Capital,Shareholder Equity,81561,0.0,Card,Lahore,Equity,Marketing campaign
TXN-2149,2025-02-12,Jeremiah Miller,Refund,Customer Refund,83927,0.0,Cheque,Karachi,Revenue Adjustment,Loan installment
TXN-2150,2025-03-02,Cheryl Evans,Capital,Partner Fund,17504,0.0,Cash,Islamabad,Equity,Monthly bill
TXN-2151,2025-02-22,Paula Boyle,Asset,Vehicle Purchase,17780,0.0,Card,Faisalabad,Fixed Asset,Customer advance
TXN-2152,2025-03-28,David Roberts,Asset,Vehicle Purchase,14733,0.0,Card,Faisalabad,Fixed Asset,Monthly bill
TXN-2153,2025-03-04,Ashley Frederick,Refund,Supplier Refund,34588,0.0,Cheque,Islamabad,Revenue Adjustment,Customer advance
TXN-2154,2025-02-03,Kimberly Graham,Income,Oil Sale,60563,10295.71,Cash,Karachi,Revenue,Customer advance
TXN-2155,2025-03-31,Brian Blackburn,Asset,Furniture,16117,0.0,Bank Transfer,Karachi,Current Asset,Customer advance
TXN-2156,2025-01-28,Roger Johnson,Refund,Customer Refund,92293,0.0,Bank Transfer,Karachi,Revenue Adjustment,Marketing campaign
TXN-2157,2025-03-25,Alicia Berg,Expense,Marketing,39847,0.0,Cash,Islamabad,Operating Expense,Loan installment
TXN-2158,2025-04-07,Laura Parker,Capital,Partner Fund,28577,0.0,Cash,Lahore,Equity,Paid to supplier
TXN-2159,2025-02-05,Michael Dillon,Refund,Customer Refund,10051,0.0,Bank Transfer,Karachi,Revenue Adjustment,Loan installment
TXN-2160,2025-03-27,Alexander Holmes,Asset,Shop Inventory,11514,0.0,Cash,Lahore,Fixed Asset,Paid to supplier
TXN-2161,2025-03-16,Deborah Skinner MD,Asset,Vehicle Purchase,68554,0.0,Bank Transfer,Islamabad,Fixed Asset,Customer advance
TXN-2162,2025-03-07,Jackson Garcia,Capital,Owner Investment,4576,0.0,Card,Faisalabad,Equity,Refund processed
TXN-2163,2025-03-10,Olivia Clark,Income,Wheat Sale,1864,316.88,Card,Islamabad,Revenue,Customer advance
TXN-2164,2025-01-24,Stacy Valdez,Income,Oil Sale,96059,16330.03,Cash,Lahore,Revenue,New equipment
TXN-2165,2025-02-03,Erin Ortiz,Asset,Vehicle Purchase,73462,0.0,Card,Karachi,Fixed Asset,New equipment
TXN-2166,2025-02-15,Douglas Collins,Income,Oil Sale,44440,7554.8,Cheque,Islamabad,Revenue,Refund processed
TXN-2167,2025-01-17,Peter Powers,Expense,Marketing,47250,0.0,Cheque,Lahore,Operating Expense,Refund processed
TXN-2168,2025-02-06,Jessica Price,Income,Wheat Sale,914,155.38,Card,Faisalabad,Revenue,Paid to supplier
TXN-2169,2025-01-25,Jordan Jennings,Income,Flour Sale,69949,11891.33,Card,Islamabad,Revenue,Loan installment
TXN-2170,2025-03-30,Dustin Perry,Expense,Electricity Bill,30918,0.0,Cheque,Islamabad,Administrative Expense,Refund processed
TXN-2171,2025-01-19,Travis Ellis,Asset,Vehicle Purchase,25525,0.0,Card,Faisalabad,Current Asset,New equipment
TXN-2172,2025-01-29,John Lee,Expense,Marketing,30138,0.0,Cash,Faisalabad,Administrative Expense,Customer advance
TXN-2173,2025-02-02,Jill Mcmahon,Liability,Tax Payable,35548,0.0,Card,Karachi,Long-term Liability,New equipment
TXN-2174,2025-02-24,Tony Thomas,Expense,Electricity Bill,30616,0.0,Cash,Faisalabad,Operating Expense,Loan installment
TXN-2175,2025-03-05,Richard Miller,Expense,Marketing,19856,0.0,Card,Faisalabad,Operating Expense,Paid to supplier
TXN-2176,2025-02-20,Glenn Wallace,Expense,Supplier Payment,45754,0.0,Bank Transfer,Faisalabad,Administrative Expense,Paid to supplier
TXN-2177,2025-04-10,Lee Howell,Liability,Utility Bill Due,37002,0.0,Cash,Islamabad,Long-term Liability,Customer advance
TXN-2178,2025-04-14,Bryan Smith,Capital,Partner Fund,31128,0.0,Bank Transfer,Karachi,Equity,Paid to supplier
TXN-2179,2025-02-24,Tyler Lamb,Refund,Supplier Refund,80755,0.0,Cheque,Karachi,Revenue Adjustment,Customer advance
TXN-2180,2025-03-10,Tracey Harrison,Liability,Tax Payable,22719,0.0,Cash,Islamabad,Short-term Liability,Refund processed
TXN-2181,2025-03-21,Tammy Mckay,Capital,Owner Investment,51376,0.0,Card,Faisalabad,Equity,New equipment
TXN-2182,2025-03-07,Brad Bush,Refund,Supplier Refund,94831,0.0,Bank Transfer,Faisalabad,Revenue Adjustment,Loan installment
TXN-2183,2025-03-28,Jessica Brown,Liability,Tax Payable,54539,0.0,Bank Transfer,Faisalabad,Long-term Liability,Marketing campaign
TXN-2184,2025-03-27,Danielle Brooks,Asset,Furniture,85260,0.0,Cheque,Islamabad,Current Asset,Marketing campaign
TXN-2185,2025-02-05,Ronald Sanchez,Asset,Vehicle Purchase,93986,0.0,Card,Islamabad,Current Asset,Paid to supplier
TXN-2186,2025-04-11,Shelby Galvan,Refund,Supplier Refund,53162,0.0,Bank Transfer,Karachi,Revenue Adjustment,Marketing campaign
TXN-2187,2025-03-07,Erica Hoffman,Expense,Electricity Bill,28628,0.0,Card,Lahore,Administrative Expense,Customer advance
TXN-2188,2025-03-07,Paula Ray,Asset,New Machinery,81607,0.0,Cheque,Islamabad,Fixed Asset,New equipment
TXN-2189,2025-02-13,Thomas Allen,Refund,Customer Refund,18399,0.0,Card,Lahore,Revenue Adjustment,New equipment
TXN-2190,2025-03-24,Brian Walker,Refund,Customer Refund,54229,0.0,Cash,Karachi,Revenue Adjustment,Monthly bill
TXN-2191,2025-01-29,Patrick Alvarez,Refund,Supplier Refund,2959,0.0,Cheque,Faisalabad,Revenue Adjustment,Paid to supplier
TXN-2192,2025-02-20,Mark Moore,Expense,Staff Salary,77455,0.0,Cheque,Faisalabad,Administrative Expense,Loan installment
TXN-2193,2025-02-18,Janet Taylor,Capital,Shareholder Equity,56000,0.0,Cash,Karachi,Equity,New equipment
TXN-2194,2025-03-29,Richard Johnson,Income,Wheat Sale,70981,12066.77,Cheque,Lahore,Revenue,New equipment
TXN-2195,2025-03-23,Aaron Hubbard,Expense,Electricity Bill,74725,0.0,Cash,Islamabad,Operating Expense,Paid to supplier
TXN-2196,2025-03-24,Jessica Richards,Asset,New Machinery,6759,0.0,Bank Transfer,Karachi,Fixed Asset,Paid to supplier
TXN-2197,2025-04-05,Kevin Franklin,Capital,Shareholder Equity,60181,0.0,Card,Islamabad,Equity,New equipment
TXN-2198,2025-02-21,Matthew Ross,Income,Oil Sale,18482,3141.94,Card,Islamabad,Revenue,Monthly bill
TXN-2199,2025-04-13,Megan Love,Income,Wheat Sale,79648,13540.16,Cheque,Islamabad,Revenue,Marketing campaign
TXN-2200,2025-04-10,Benjamin Wright,Asset,Vehicle Purchase,8170,0.0,Cash,Karachi,Fixed Asset,Loan installment
TXN-2201,2025-01-21,Courtney Stevens,Asset,Furniture,2660,0.0,Bank Transfer,Islamabad,Current Asset,Marketing campaign
TXN-2202,2025-03-24,Matthew Baker,Refund,Supplier Refund,57114,0.0,Cheque,Lahore,Revenue Adjustment,Monthly bill
TXN-2203,2025-03-05,Cheryl Sims,Liability,Supplier Credit,37299,0.0,Cheque,Islamabad,Short-term Liability,Marketing campaign
TXN-2204,2025-02-14,Zachary Briggs,Refund,Customer Refund,56615,0.0,Card,Islamabad,Revenue Adjustment,Marketing campaign
TXN-2205,2025-02-09,Ariel Stewart,Refund,Customer Refund,29921,0.0,Card,Karachi,Revenue Adjustment,Refund processed
TXN-2206,2025-02-09,Jacob Moore,Income,Rice Sale,81005,13770.85,Bank Transfer,Karachi,Revenue,Customer advance
TXN-2207,2025-04-09,Maria Collins,Capital,Partner Fund,19431,0.0,Bank Transfer,Faisalabad,Equity,Customer advance
TXN-2208,2025-02-28,David Santiago,Asset,Shop Inventory,46276,0.0,Bank Transfer,Faisalabad,Current Asset,Refund processed
TXN-2209,2025-01-18,Jeffrey Hoover,Refund,Customer Refund,52353,0.0,Cheque,Lahore,Revenue Adjustment,Loan installment
TXN-2210,2025-01-23,Gabriel Ball,Capital,Owner Investment,47029,0.0,Card,Islamabad,Equity,Refund processed
TXN-2211,2025-02-03,Justin Jones,Refund,Customer Refund,30352,0.0,Bank Transfer,Karachi,Revenue Adjustment,New equipment
TXN-2212,2025-04-13,Amanda Fernandez,Liability,Bank Loan,85598,0.0,Bank Transfer,Faisalabad,Short-term Liability,Paid to supplier
TXN-2213,2025-02-05,Robert Knight,Liability,Tax Payable,30280,0.0,Card,Karachi,Long-term Liability,Paid to supplier
